sequence_no,Days_PhysicallyActive_AtLeast60Min_Last7Days,ScreenTime_TypicalDay_SchoolYear
130381.0,7.0,3.0
130382.0,7.0,2.0
130383.0,7.0,2.0
130403.0,,
130405.0,7.0,3.0
130411.0,5.0,4.0
130412.0,7.0,1.0
130414.0,7.0,9.0
130423.0,3.0,2.0
130428.0,3.0,1.0
130429.0,,
130432.0,5.0,4.0
130433.0,6.0,2.0
130435.0,3.0,5.0
130447.0,2.0,4.0
130451.0,5.0,2.0
130454.0,5.0,2.0
130455.0,7.0,3.0
130458.0,5.397605346934028e-79,2.0
130460.0,7.0,2.0
130463.0,5.397605346934028e-79,1.0
130471.0,5.0,3.0
130472.0,6.0,1.0
130479.0,3.0,4.0
130480.0,5.0,5.0
130481.0,7.0,4.0
130482.0,1.0,7.0
130488.0,5.397605346934028e-79,2.0
130490.0,3.0,3.0
130498.0,2.0,3.0
130501.0,7.0,2.0
130510.0,4.0,3.0
130511.0,6.0,1.0
130513.0,7.0,1.0
130518.0,6.0,5.0
130521.0,7.0,9.0
130524.0,5.0,8.0
130528.0,4.0,8.0
130529.0,5.0,2.0
130531.0,2.0,9.0
130532.0,7.0,1.0
130534.0,7.0,2.0
130535.0,4.0,2.0
130536.0,7.0,3.0
130539.0,,
130542.0,5.0,3.0
130556.0,3.0,3.0
130561.0,5.0,3.0
130564.0,4.0,3.0
130565.0,7.0,1.0
130575.0,3.0,5.0
130583.0,7.0,2.0
130584.0,4.0,2.0
130586.0,7.0,3.0
130591.0,4.0,3.0
130594.0,7.0,5.0
130602.0,3.0,2.0
130608.0,2.0,3.0
130613.0,5.0,2.0
130614.0,7.0,5.0
130615.0,5.397605346934028e-79,2.0
130624.0,5.0,3.0
130630.0,5.0,3.0
130638.0,3.0,7.0
130639.0,7.0,1.0
130650.0,7.0,1.0
130653.0,5.397605346934028e-79,2.0
130657.0,7.0,1.0
130660.0,5.0,2.0
130661.0,2.0,8.0
130673.0,5.0,2.0
130677.0,4.0,1.0
130679.0,7.0,3.0
130680.0,7.0,2.0
130682.0,4.0,3.0
130684.0,5.0,5.0
130685.0,3.0,2.0
130689.0,7.0,1.0
130693.0,5.0,6.0
130695.0,1.0,4.0
130698.0,5.0,5.0
130699.0,7.0,1.0
130700.0,5.0,5.0
130702.0,7.0,1.0
130706.0,7.0,5.397605346934028e-79
130709.0,7.0,1.0
130714.0,5.0,2.0
130716.0,6.0,1.0
130721.0,7.0,1.0
130725.0,4.0,6.0
130727.0,4.0,1.0
130728.0,7.0,2.0
130731.0,7.0,2.0
130732.0,7.0,2.0
130735.0,7.0,1.0
130737.0,7.0,5.397605346934028e-79
130740.0,7.0,5.0
130751.0,7.0,4.0
130755.0,5.0,4.0
130756.0,5.397605346934028e-79,1.0
130757.0,7.0,2.0
130758.0,5.0,4.0
130763.0,4.0,4.0
130765.0,2.0,3.0
130770.0,7.0,5.397605346934028e-79
130772.0,7.0,2.0
130773.0,7.0,2.0
130783.0,2.0,5.0
130784.0,99.0,5.0
130789.0,5.397605346934028e-79,2.0
130790.0,7.0,3.0
130792.0,3.0,9.0
130794.0,3.0,7.0
130795.0,,
130798.0,7.0,4.0
130803.0,6.0,2.0
130808.0,1.0,5.0
130816.0,5.0,8.0
130817.0,7.0,2.0
130819.0,7.0,3.0
130820.0,7.0,1.0
130822.0,1.0,3.0
130823.0,5.397605346934028e-79,5.397605346934028e-79
130824.0,7.0,2.0
130831.0,3.0,1.0
130840.0,5.0,5.0
130846.0,5.0,4.0
130849.0,7.0,1.0
130850.0,5.397605346934028e-79,5.0
130851.0,6.0,1.0
130852.0,4.0,1.0
130853.0,5.0,2.0
130855.0,2.0,9.0
130857.0,3.0,1.0
130858.0,7.0,1.0
130859.0,7.0,2.0
130862.0,7.0,1.0
130866.0,6.0,1.0
130873.0,6.0,3.0
130876.0,7.0,2.0
130877.0,7.0,1.0
130886.0,3.0,2.0
130887.0,7.0,4.0
130888.0,6.0,4.0
130889.0,3.0,6.0
130891.0,5.0,2.0
130894.0,3.0,4.0
130896.0,7.0,2.0
130898.0,3.0,9.0
130902.0,7.0,2.0
130905.0,5.0,2.0
130916.0,5.397605346934028e-79,99.0
130919.0,5.0,2.0
130925.0,7.0,3.0
130927.0,7.0,1.0
130928.0,3.0,3.0
130949.0,5.0,2.0
130954.0,7.0,1.0
130955.0,2.0,6.0
130958.0,6.0,1.0
130959.0,7.0,3.0
130962.0,6.0,2.0
130969.0,4.0,7.0
130971.0,6.0,2.0
130973.0,5.397605346934028e-79,3.0
130976.0,99.0,99.0
130979.0,6.0,5.0
130987.0,5.0,1.0
130988.0,2.0,8.0
130990.0,7.0,3.0
130993.0,6.0,1.0
130998.0,3.0,2.0
130999.0,7.0,1.0
131009.0,7.0,5.0
131015.0,3.0,2.0
131018.0,4.0,3.0
131022.0,7.0,6.0
131029.0,7.0,2.0
131040.0,7.0,3.0
131043.0,7.0,1.0
131047.0,5.0,3.0
131049.0,6.0,9.0
131064.0,5.397605346934028e-79,1.0
131068.0,5.0,1.0
131069.0,7.0,4.0
131072.0,3.0,2.0
131080.0,7.0,2.0
131081.0,7.0,1.0
131086.0,5.0,5.0
131087.0,4.0,1.0
131089.0,4.0,6.0
131096.0,,
131101.0,7.0,5.397605346934028e-79
131103.0,2.0,2.0
131104.0,6.0,1.0
131105.0,7.0,1.0
131110.0,6.0,8.0
131111.0,,
131113.0,2.0,6.0
131123.0,5.397605346934028e-79,3.0
131125.0,2.0,5.0
131128.0,7.0,4.0
131133.0,5.0,2.0
131138.0,5.0,4.0
131140.0,7.0,4.0
131142.0,,
131145.0,2.0,2.0
131146.0,7.0,3.0
131151.0,7.0,5.397605346934028e-79
131154.0,7.0,2.0
131162.0,7.0,1.0
131165.0,2.0,3.0
131166.0,7.0,1.0
131168.0,4.0,6.0
131171.0,5.0,2.0
131173.0,7.0,2.0
