sequence_no,NumberOfPeopleSmokingInHome,NumberOfPeopleSmokingInsideHome
130378.0,5.397605346934028e-79,
130379.0,5.397605346934028e-79,
130380.0,5.397605346934028e-79,
130381.0,5.397605346934028e-79,
130382.0,5.397605346934028e-79,
130383.0,,
130384.0,5.397605346934028e-79,
130385.0,5.397605346934028e-79,
130386.0,5.397605346934028e-79,
130387.0,5.397605346934028e-79,
130388.0,2.0,2.0
130389.0,5.397605346934028e-79,
130390.0,5.397605346934028e-79,
130391.0,2.0,2.0
130392.0,5.397605346934028e-79,
130393.0,5.397605346934028e-79,
130394.0,5.397605346934028e-79,
130395.0,5.397605346934028e-79,
130396.0,5.397605346934028e-79,
130397.0,5.397605346934028e-79,
130398.0,5.397605346934028e-79,
130399.0,5.397605346934028e-79,
130400.0,5.397605346934028e-79,
130401.0,1.0,5.397605346934028e-79
130402.0,5.397605346934028e-79,
130403.0,5.397605346934028e-79,
130404.0,5.397605346934028e-79,
130405.0,1.0,5.397605346934028e-79
130406.0,2.0,5.397605346934028e-79
130407.0,5.397605346934028e-79,
130408.0,1.0,5.397605346934028e-79
130409.0,5.397605346934028e-79,
130410.0,1.0,5.397605346934028e-79
130411.0,5.397605346934028e-79,
130412.0,5.397605346934028e-79,
130413.0,5.397605346934028e-79,
130414.0,5.397605346934028e-79,
130415.0,5.397605346934028e-79,
130416.0,,
130417.0,5.397605346934028e-79,
130418.0,1.0,1.0
130419.0,1.0,1.0
130420.0,1.0,5.397605346934028e-79
130421.0,5.397605346934028e-79,
130422.0,1.0,5.397605346934028e-79
130423.0,5.397605346934028e-79,
130424.0,,
130425.0,5.397605346934028e-79,
130426.0,1.0,1.0
130427.0,5.397605346934028e-79,
130428.0,,
130429.0,5.397605346934028e-79,
130430.0,5.397605346934028e-79,
130431.0,5.397605346934028e-79,
130432.0,1.0,5.397605346934028e-79
130433.0,5.397605346934028e-79,
130434.0,5.397605346934028e-79,
130435.0,5.397605346934028e-79,
130436.0,5.397605346934028e-79,
130437.0,5.397605346934028e-79,
130438.0,5.397605346934028e-79,
130439.0,5.397605346934028e-79,
130440.0,5.397605346934028e-79,
130441.0,5.397605346934028e-79,
130442.0,1.0,5.397605346934028e-79
130443.0,5.397605346934028e-79,
130444.0,5.397605346934028e-79,
130445.0,5.397605346934028e-79,
130446.0,,
130447.0,5.397605346934028e-79,
130448.0,1.0,1.0
130449.0,1.0,5.397605346934028e-79
130450.0,5.397605346934028e-79,
130451.0,2.0,1.0
130452.0,,
130453.0,5.397605346934028e-79,
130454.0,5.397605346934028e-79,
130455.0,,
130456.0,5.397605346934028e-79,
130457.0,5.397605346934028e-79,
130458.0,1.0,5.397605346934028e-79
130459.0,5.397605346934028e-79,
130460.0,5.397605346934028e-79,
